010354.jpg,middle eastern,Man,neutral
009680.jpg,latino hispanic,Woman,happy
009028.jpg,white,Woman,happy
007702.jpg,white,Woman,sad
009681.jpg,white,Man,happy
010355.jpg,white,Woman,sad
009029.jpg,latino hispanic,Man,sad
007703.jpg,asian,Man,angry
009682.jpg,white,Woman,fear
009030.jpg,white,Woman,happy
010356.jpg,white,Woman,happy
007704.jpg,white,Woman,happy
009683.jpg,asian,Woman,happy
009031.jpg,white,Man,happy
007705.jpg,middle eastern,Woman,happy
009684.jpg,latino hispanic,Woman,happy
010357.jpg,white,Woman,happy
009032.jpg,white,Man,happy
007706.jpg,white,Man,neutral
010358.jpg,asian,Woman,happy
009685.jpg,white,Man,neutral
009033.jpg,white,Woman,fear
007707.jpg,white,Woman,neutral
009686.jpg,latino hispanic,Woman,happy
010359.jpg,white,Man,fear
009034.jpg,white,Man,sad
007708.jpg,white,Woman,neutral
010360.jpg,middle eastern,Man,angry
009687.jpg,white,Woman,neutral
009035.jpg,white,Woman,happy
007709.jpg,asian,Woman,happy
010361.jpg,white,Woman,neutral
009688.jpg,white,Woman,neutral
009036.jpg,white,Woman,fear
007710.jpg,black,Woman,happy
010362.jpg,white,Woman,happy
009689.jpg,white,Woman,happy
009037.jpg,white,Woman,happy
007711.jpg,asian,Man,neutral
010363.jpg,white,Woman,neutral
009690.jpg,white,Woman,neutral
009038.jpg,white,Woman,neutral
007712.jpg,white,Man,neutral
010364.jpg,white,Woman,happy
009691.jpg,white,Man,sad
009039.jpg,white,Man,neutral
007713.jpg,white,Man,happy
010365.jpg,middle eastern,Woman,happy
009692.jpg,white,Woman,happy
009040.jpg,white,Woman,happy
007714.jpg,white,Woman,happy
010366.jpg,white,Woman,neutral
009693.jpg,white,Woman,happy
009041.jpg,black,Man,neutral
007715.jpg,white,Man,happy
010367.jpg,latino hispanic,Woman,happy
009042.jpg,asian,Woman,happy
009694.jpg,white,Woman,neutral
007716.jpg,white,Man,sad
010368.jpg,white,Woman,neutral
009043.jpg,white,Man,neutral
009695.jpg,white,Man,fear
007717.jpg,white,Man,happy
010369.jpg,white,Man,neutral
009044.jpg,black,Man,happy
009696.jpg,white,Man,happy
007718.jpg,white,Man,happy
010370.jpg,white,Woman,neutral
009045.jpg,white,Woman,neutral
009697.jpg,black,Woman,neutral
007719.jpg,white,Woman,happy
010371.jpg,middle eastern,Man,happy
009046.jpg,white,Woman,neutral
009698.jpg,white,Woman,happy
007720.jpg,asian,Man,angry
010372.jpg,white,Woman,surprise
009047.jpg,black,Woman,happy
009699.jpg,latino hispanic,Man,neutral
007721.jpg,asian,Man,happy
010373.jpg,white,Man,neutral
009048.jpg,white,Man,sad
009700.jpg,asian,Man,happy
007722.jpg,white,Woman,sad
010374.jpg,white,Man,neutral
009049.jpg,white,Woman,happy
009701.jpg,asian,Man,sad
010375.jpg,latino hispanic,Man,neutral
007723.jpg,white,Woman,happy
009702.jpg,white,Woman,happy
009050.jpg,white,Man,fear
007724.jpg,asian,Man,fear
010376.jpg,white,Woman,neutral
009703.jpg,white,Woman,neutral
009051.jpg,white,Man,happy
010377.jpg,white,Woman,sad
007725.jpg,white,Woman,neutral
009052.jpg,middle eastern,Man,sad
009704.jpg,white,Man,neutral
007726.jpg,white,Man,sad
010378.jpg,latino hispanic,Woman,happy
009705.jpg,asian,Man,happy
009053.jpg,latino hispanic,Man,happy
007727.jpg,asian,Woman,neutral
010379.jpg,white,Woman,happy
009706.jpg,asian,Woman,fear
009054.jpg,black,Man,surprise
007728.jpg,white,Woman,happy
010380.jpg,white,Woman,neutral
009707.jpg,black,Man,sad
009055.jpg,white,Woman,neutral
007729.jpg,white,Man,fear
010381.jpg,white,Woman,neutral
009708.jpg,asian,Man,sad
009056.jpg,white,Man,happy
007730.jpg,latino hispanic,Man,neutral
010382.jpg,asian,Man,happy
009057.jpg,white,Man,surprise
009709.jpg,white,Man,sad
007731.jpg,black,Man,sad
010383.jpg,white,Man,sad
009058.jpg,latino hispanic,Man,sad
009710.jpg,white,Woman,happy
007732.jpg,white,Woman,neutral
010384.jpg,white,Woman,happy
009059.jpg,white,Woman,happy
009711.jpg,white,Man,neutral
007733.jpg,asian,Woman,neutral
010385.jpg,asian,Man,happy
009060.jpg,white,Woman,neutral
009712.jpg,white,Man,neutral
007734.jpg,asian,Woman,fear
010386.jpg,white,Man,sad
009061.jpg,white,Woman,happy
009713.jpg,white,Woman,neutral
